#{"t_start": 1710276488.649487, "env_id": "None"}
r,l,t
4.212456,90,0.271814
27.32408,569,1.587566
27.498875,600,2.989393
36.898186,600,4.395547
14.355664,336,5.197774
21.156639,332,5.991646
14.181876,290,6.692019
36.09555,600,8.108915
10.02391,197,8.60346
30.495621,600,10.003613
31.128186,600,11.408813
4.918326,97,11.681863
1.277909,38,11.822726
9.235514,215,12.363151
27.848532,568,13.684292
